short_name,skip_score,location_city,cussine_list
co do vietnamese,97,Calgary,Vietnamese
coco fresh tea juice,97,Calgary,Chinese
coco's ice cream,80,Calgary,Thai
conmi taco,82,Calgary,Mexican
connie and john's italian,80,Calgary,Italian
copper branch,88,Calgary,Mediterranean
cordial convenience,88,Calgary,"Fast Food, Convenience"
costa vida,92,Calgary,Mexican
cotto italian comfort food,80,Calgary,Italian
cowboy's tap house pub,66,Calgary,"Pub Food, Italian"
craft beer market,84,Calgary,Pub Food
cravings market restaurant,83,Calgary,Italian
crepe delicious,96,Calgary,French
creteus greek food,80,Calgary,Mediterranean
crispy crust pizzeria,98,Calgary,Italian
cristy's rotisserie chicken,97,Calgary,Pub Food
crowfoot thai,86,Calgary,Thai
crunchy house,90,Calgary,"Korean, Vietnamese"
cubano's,80,Calgary,Latin American
cucina,72,Calgary,Italian
curry & biryani house,80,Calgary,Indian
curry box by indian cloud kitchens,80,Calgary,Indian
curry craft,95,Calgary,Indian
curry n crust,94,Calgary,"Indian, Mediterranean"
curry n crust east indian cuisine,92,Calgary,Indian
curry night,92,Calgary,Indian
curry queens,80,Calgary,Indian
cuty restaurant - asian street food,72,Calgary,Vietnamese
cuty vietnamese kitchen,84,Calgary,"Pub Food, Vietnamese"
d2ue kitchen and chocolate bar,75,Calgary,Middle Eastern
daddy's kitchen,80,Calgary,Mexican
dagu rice noodle,93,Calgary,Chinese
dairy queen,86,Calgary,Fast Food
damas cafe,74,Calgary,Mediterranean
damascus,97,Calgary,"Middle Eastern, Mediterranean"
dark table restaurant,80,Calgary,Middle Eastern
darwin's charcoal bbq chicken,83,Calgary,Filipino
dba centex airways,80,Calgary,Convenience
dba one stop convenience,80,Calgary,Convenience
dc groceries - indian grocery store,85,Calgary,"Convenience, Indian"
dc pizza,81,Calgary,"Fast Food, Indian"
dc pizza bistro,90,Calgary,"Middle Eastern, Indian"
de minico's,75,Calgary,"Fast Food, Italian"
de thai cuisine,99,Calgary,"Thai, Chinese"
deep & square pizza,82,Calgary,Italian
deep fried master,80,Calgary,Chinese
deepak's dhaba,92,Calgary,Indian
delhi belly,81,Calgary,Indian
delhi express,74,Calgary,"Indian, Chinese"
delice curry house,80,Calgary,"Middle Eastern, Indian"
delicious thai - just eat,75,Calgary,Thai
delicious thai restaurant,91,Calgary,Thai
dell cafe,96,Calgary,Chinese
demetris pizza,93,Calgary,Italian
desi junction,92,Calgary,Indian
dickens pub,80,Calgary,Pub Food
divine meals,80,Calgary,African
diwan arabian cuisine and lounge,89,Calgary,Middle Eastern
dixon's public house,85,Calgary,"Pub Food, Italian"
dl eats,87,Calgary,Chinese
dnc - lac viet vietnamese restaurant,97,Calgary,Vietnamese
doaba meat shop & take-out restaurant,96,Calgary,Indian
dog & duck public house & restaurant,80,Calgary,Pub Food
dollar plus convenience store,80,Calgary,Convenience
don's restaurant,91,Calgary,"Vietnamese, Chinese"
donair choices cafe halal,80,Calgary,"Middle Eastern, Vietnamese"
donair grill,83,Calgary,"Fast Food, Middle Eastern, Mediterranean"
donair hut,80,Calgary,"Middle Eastern, Mediterranean"
donair palace,80,Calgary,"Fast Food, Middle Eastern, Mediterranean"
donair station,75,Calgary,"Middle Eastern, Mediterranean"
donburi japanese cuisine,94,Calgary,Japanese
dong phuong,80,Calgary,Chinese
dosa garden,85,Calgary,Indian
dosirak,100,Calgary,"Thai, Chinese"
dostana calgary,80,Calgary,Indian
doughlicious,94,Calgary,Middle Eastern
doughlicious bakery,80,Calgary,"Fast Food, Mediterranean"
douglas peking express,96,Calgary,Chinese
dover pizza steak house & lounge,81,Calgary,"Middle Eastern, Indian, Mediterranean"
dragon boat authentic vietnamese & street food restaurant,79,Calgary,Vietnamese
dragon dynasty chinese restaurant,86,Calgary,Chinese
dragon garden,91,Calgary,"Fast Food, Chinese"
dragon gate restaurant,89,Calgary,Chinese
dragon pearl restaurant,100,Calgary,Chinese
dragon's lair burger co.,93,Calgary,Mexican
dreamery,80,Calgary,Japanese
dublin calling,75,Calgary,Pub Food
dumka indian cuisine,78,Calgary,Indian
dutton's at scotiabank saddledome,80,Calgary,Pub Food
earl of sandwich,96,Calgary,Fast Food
east african store,80,Calgary,African
east indian restaurant,80,Calgary,"Fast Food, Indian"
east side mario's,86,Calgary,Italian
eastern fortune restaurant,87,Calgary,Chinese
eastern treasures,81,Calgary,Chinese
eastside banh mi,80,Calgary,Vietnamese
eat - eighth avenue trattoria,93,Calgary,Italian
eat at will,80,Calgary,Indian
eat-a-pita,92,Calgary,Middle Eastern
eatcrow snack bar,82,Calgary,Pub Food
eats of asia,80,Calgary,Korean
ec fusion + lounge,80,Calgary,"African, Ethiopian"
ed's restaurant,80,Calgary,Pub Food
edo japan,95,Calgary,Japanese
el charrito taqueria,82,Calgary,"Fast Food, Mexican"
el greco market cafe,77,Calgary,Mediterranean
el padrino restaurant,85,Calgary,Mexican
el rouhaa pita bakery,80,Calgary,Middle Eastern
emerald garden peking & seafood,93,Calgary,Chinese
emerald palace,87,Calgary,Chinese
empire cafe & lounge,80,Calgary,Mediterranean
empress palace restaurant & buffet,88,Calgary,Chinese
enjoy house chinese,16,Calgary,Chinese
espresso cafe,72,Calgary,French
essence of saigon-chinook|express-vietnamese pho restaurant,91,Calgary,Vietnamese
essence of saigon-northland|bistro-vietnamese pho restaurant,98,Calgary,Vietnamese
etaspice,80,Calgary,African
expatasia,93,Calgary,Indian
extreme pita,80,Calgary,Fast Food
f.s.w chou restaurant,75,Calgary,Chinese
fabs convenience store,80,Calgary,Convenience
fairmont grill,80,Calgary,"Middle Eastern, Mediterranean"
faisal kabab hut,88,Calgary,Indian
family convenience store,85,Calgary,Convenience
famoso,90,Calgary,Italian
famous wok,91,Calgary,Chinese
fancy taste of china,87,Calgary,Chinese
far east foods,93,Calgary,Chinese
farooj king,80,Calgary,Mediterranean
fastlane pizza,99,Calgary,Fast Food
fatburger,95,Calgary,Fast Food
fatima karahi corner,87,Calgary,Indian
feast of india,96,Calgary,"Middle Eastern, Indian"
fergus & bix restaurant,95,Calgary,Pub Food
fiddler's courtyard,82,Calgary,Pub Food
fiesta market and restaurant,92,Calgary,Mexican
fionn maccool's,86,Calgary,Pub Food
fire n ice bar & sheesha lounge,77,Calgary,Mexican
first base sports bar,80,Calgary,Pub Food
fish and rice,80,Calgary,"Korean, Mexican"
five dollar drive in,80,Calgary,"Fast Food, Middle Eastern, Indian"
flame mountain bbq,76,Calgary,Chinese
flipp'n burgers,93,Calgary,Fast Food
flipp'n burgers and breakfast,80,Calgary,Fast Food
flirty bird nashville hot chicken,90,Calgary,Fast Food
flying bowl,80,Calgary,Korean
folabab's convenience,93,Calgary,Convenience
foo asian street food,80,Calgary,"Thai, Indian"
forbidden city dim sum and seafood,96,Calgary,Chinese
foreign concept,76,Calgary,Vietnamese
fortune one chinese restaurant,93,Calgary,Chinese
fradu cafe south african bbq,91,Calgary,African
fresh blend coffee and sandwich bar,80,Calgary,Korean
fresh selects deli,80,Calgary,"Fast Food, Korean"
"fresh-adilla, fresh tortilla",80,Calgary,Mexican
fresh-adilla/deerfoot cafe,97,Calgary,"Latin American, Mexican"
freshslice pizza,96,Calgary,Mediterranean
friend's pizza & pasta ltd,95,Calgary,Italian
friends ethiopian food,83,Calgary,"African, Ethiopian"
friends pizza,80,Calgary,"Italian, Indian"
fritou,79,Calgary,Fast Food
fritou chicken,83,Calgary,Pub Food
fritou chicken & khmer bbq,72,Calgary,Fast Food
fritou chicken & pizza,82,Calgary,Italian
fritou chicken and pizza forest lawn,75,Calgary,Fast Food
fritou chicken skyview,85,Calgary,"Fast Food, Indian"
frsh frys,91,Calgary,Pub Food
frutta gala,99,Calgary,Chinese
fryday poutine,80,Calgary,"Fast Food, Pub Food"
fuji ramen and sushi,92,Calgary,Japanese
fuji yama,82,Calgary,Japanese
full circle pizza and oyster bar,80,Calgary,Italian
fusion corner pizza & sandwiches,80,Calgary,Italian
fusion sushi,79,Calgary,Japanese
fusion sushi - just eat,75,Calgary,Chinese
fusion sushi 17 ave.,95,Calgary,Chinese
fuwa fuwa,80,Calgary,Japanese
fuwa fuwa japanese pancakes,94,Calgary,Japanese
g-mart,74,Calgary,Convenience
gachi,80,Calgary,Japanese
gaga pizzeria,82,Calgary,Italian
gagana ramen,90,Calgary,Japanese
gallaghers pub & eatery,88,Calgary,"Fast Food, Pub Food"
garcha bros meat shop & poultry,88,Calgary,Indian
garden of italy,89,Calgary,Italian
garrison pub & eatery,89,Calgary,Pub Food
gate of india,80,Calgary,Indian
gator's sports pub,98,Calgary,Pub Food
gaucho brazilian bbq,94,Calgary,Latin American
gaucho brazilian bbq - just eat,75,Calgary,Latin American
gaya sushi and ramen,77,Calgary,Japanese
gcp indian cuisine,96,Calgary,"Fast Food, Italian, Indian, Mediterranean"
gcp sage hill,82,Calgary,"Fast Food, Italian, Mediterranean"
geez ethiopian and eritrean cuisine inc.,85,Calgary,"African, Ethiopian"
george's beach club,80,Calgary,Vietnamese
german bavarian catering,80,Calgary,Fast Food
getta pizza,80,Calgary,"Fast Food, Italian"
getto boys burger and ribs,80,Calgary,Pub Food
ghost donair,82,Calgary,Mediterranean
gillz grill,80,Calgary,Indian
ginger beef bistro house,94,Calgary,Chinese
ginger beef express,89,Calgary,Chinese
ginger beef peking house,95,Calgary,Chinese
ginza sushi & grill japanese restaurant,74,Calgary,Japanese
glass restaurant,80,Calgary,Italian
globefish chinook,87,Calgary,Japanese
globefish japanese bistro,82,Calgary,Japanese
globefish sushi and izakaya,90,Calgary,Japanese
glory of india,82,Calgary,"Middle Eastern, Indian"
go-go kitchen,81,Calgary,"Middle Eastern, Indian"
go-go mediterranean,92,Calgary,Mediterranean
gogi korean bbq,89,Calgary,Korean
gogi korean kitchen,98,Calgary,Korean
goginara korean street bbq,80,Calgary,Korean
gogo chicken,99,Calgary,"Korean, Japanese"
gogo mediterranean,72,Calgary,Mediterranean
gojo takeout & bakery,92,Calgary,"African, Ethiopian"
gold bistro chinese restaurant,86,Calgary,Chinese
golden bell 17 ave. sw,95,Calgary,"Pub Food, Vietnamese"
golden bell bridgeland,97,Calgary,"Pub Food, Vietnamese"
golden bell saigon,82,Calgary,Vietnamese
golden bell vietnamese restaurant,97,Calgary,Vietnamese
golden cactus mexican grill,74,Calgary,"Pub Food, Mexican"
golden gate,97,Calgary,Chinese
golden happiness bakery,80,Calgary,Chinese
golden inn,74,Calgary,Chinese
golden joy express,80,Calgary,"Fast Food, Chinese"
golden moon chinese food,93,Calgary,Chinese
golden moon chinese food - just eat,75,Calgary,Chinese
golden national family restaurant,91,Calgary,Chinese
golden sands chinese seafood restaurant,82,Calgary,Chinese
golden top vietnamese,80,Calgary,Vietnamese
golden village,80,Calgary,Chinese
golden village restaurant,80,Calgary,Chinese
golden west,80,Calgary,Chinese
golden west restaurant,98,Calgary,Chinese
gondola incomparable pizza,100,Calgary,Fast Food
gondola incomparable pizza acadia,98,Calgary,Fast Food
gondola pizza,75,Calgary,Italian
gong kee bbq noodle house,94,Calgary,"Chinese, Vietnamese"
good bread retail,96,Calgary,Convenience
goro + gun,85,Calgary,Japanese
grace of india,84,Calgary,Indian
great canadian pizza & donair shawarma,98,Calgary,Fast Food
great canadian pizza and shawarma,98,Calgary,"Fast Food, Italian, Indian, Mediterranean"
great canadian pizza shawarma,80,Calgary,Fast Food
great canadian shawarma,80,Calgary,"Middle Eastern, Mediterranean"
great pizza and restaurant,80,Calgary,"Fast Food, Middle Eastern"
great pizza unlimited,80,Calgary,"Fast Food, Middle Eastern"
great taste,86,Calgary,"Japanese, Chinese"
great taste chinese cuisine,94,Calgary,Chinese
greco's pizza,97,Calgary,Fast Food
greek greek wraps and bowls,74,Calgary,Mediterranean
